week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled
2024-06-01,Montana,0.5,0.1,0.02,24-25,2024,22,0.763587,0.16700035875479863,0.013227513227513229,0.016129032258064516,0
2024-06-29,Montana,0.91,0.07,0,24-25,2024,26,0.486827,0.06790956228334183,0.00925925925925926,0,0.21808510638297876
2024-07-27,Montana,1.83,0.07,0,24-25,2024,30,0.402183,0.03760373276849146,0.00925925925925926,0,0.7074468085106383
2024-09-14,Montana,2.38,0.06,0.01,24-25,2024,37,0.464266,0.05983185069498897,0.007936507936507936,0.008064516129032258,1
2024-09-21,Montana,2.18,0.01,0.01,24-25,2024,38,0.750389,0.16227496371277558,0.001322751322751323,0.008064516129032258,0.8936170212765959
2024-09-28,Montana,2.02,0.07,0.02,24-25,2024,39,0.591549,0.10540409324187593,0.00925925925925926,0.016129032258064516,0.8085106382978724
2024-11-02,Montana,1.02,0.04,0,24-25,2024,44,0.608757,0.11156522355579711,0.005291005291005292,0,0.2765957446808511
2024-11-09,Montana,1.12,0.09,0.01,24-25,2024,45,0.635145,0.12101314933007373,0.011904761904761904,0.008064516129032258,0.3297872340425533
2025-02-15,Montana,0.73,7.39,1.01,24-25,2025,7,3.09015,1,0.9775132275132276,0.8145161290322581,0.12234042553191489
2024-06-08,Montana,0.68,0.15,0.02,24-25,2024,23,0.683239,0.13823266358610153,0.01984126984126984,0.016129032258064516,0.09574468085106386
2024-08-31,Montana,1.92,0.01,0,24-25,2024,35,0.511995,0.07692068081778908,0.001322751322751323,0,0.7553191489361702
2024-10-19,Montana,1.37,0.04,0.01,24-25,2024,42,0.60741,0.11108294539837894,0.005291005291005292,0.008064516129032258,0.4627659574468086
2024-12-21,Montana,1.12,1.48,0.16,24-25,2024,51,0.952813,0.23475059380721905,0.19576719576719578,0.12903225806451613,0.3297872340425533
2025-01-11,Montana,0.99,2.58,0.29,24-25,2025,2,1.18542,0.3180329066227854,0.3412698412698413,0.23387096774193547,0.26063829787234044
2025-01-25,Montana,0.73,4.01,0.58,24-25,2025,4,1.55416,0.45005610466760754,0.5304232804232805,0.46774193548387094,0.12234042553191489
2024-06-15,Montana,0.77,0.1,0.05,24-25,2024,24,0.38656,0.03201009382762728,0.013227513227513229,0.040322580645161296,0.14361702127659576
2024-06-22,Montana,0.82,0.08,0,24-25,2024,25,0.53979,0.08687236707275418,0.010582010582010583,0,0.1702127659574468
2024-07-06,Montana,1.45,0.09,0.02,24-25,2024,27,0.603155,0.10955949063979371,0.011904761904761904,0.016129032258064516,0.5053191489361702
2024-07-13,Montana,1.77,0.11,0,24-25,2024,28,0.575113,0.09951936882069921,0.014550264550264551,0,0.6755319148936171
2024-09-07,Montana,2.15,0.02,0.01,24-25,2024,36,0.526855,0.08224113621439931,0.002645502645502646,0.008064516129032258,0.8776595744680851
2024-10-26,Montana,1.26,0.08,0.04,24-25,2024,43,0.670578,0.13369953533734766,0.010582010582010583,0.03225806451612903,0.4042553191489362
2024-11-23,Montana,0.99,0.17,0.04,24-25,2024,47,0.44843,0.05416194950651523,0.02248677248677249,0.03225806451612903,0.26063829787234044
2024-11-30,Montana,0.96,0.3,0.05,24-25,2024,48,0.3727,0.027047677152188653,0.03968253968253968,0.040322580645161296,0.24468085106382978
2025-01-04,Montana,1.66,3.13,0.26,24-25,2025,1,1.22449,0.33202147945896054,0.414021164021164,0.20967741935483872,0.6170212765957447
2025-02-08,Montana,0.94,7.56,1.24,24-25,2025,6,2.80742,0.8987717123631487,1,1,0.23404255319148934
2024-07-20,Montana,1.56,0.07,0.02,24-25,2024,29,0.297156,0,0.00925925925925926,0.016129032258064516,0.5638297872340426
2024-08-03,Montana,1.79,0.05,0,24-25,2024,31,0.385274,0.03154965603220058,0.006613756613756614,0,0.6861702127659575
2024-08-10,Montana,1.95,0.07,0,24-25,2024,32,0.504978,0.07440832311132786,0.00925925925925926,0,0.7712765957446809
2024-08-17,Montana,1.87,0,0,24-25,2024,33,0.38059,0.029872602662232715,0,0,0.7287234042553192
2024-08-24,Montana,2.09,0.05,0,24-25,2024,34,0.635563,0.12116280951552348,0.006613756613756614,0,0.8457446808510638
2024-10-05,Montana,2.06,0.05,0,24-25,2024,40,0.666806,0.13234901328108833,0.006613756613756614,0,0.8297872340425533
2024-10-12,Montana,1.61,0.11,0.01,24-25,2024,41,0.910194,0.21949134154960587,0.014550264550264551,0.008064516129032258,0.5904255319148937
2024-11-16,Montana,0.99,0.06,0,24-25,2024,46,0.462107,0.05905884509597944,0.007936507936507936,0,0.26063829787234044
2024-12-07,Montana,1.16,0.33,0.03,24-25,2024,49,0.689655,0.1405298400211386,0.043650793650793655,0.024193548387096774,0.351063829787234
2024-12-14,Montana,1.15,0.75,0.08,24-25,2024,50,0.842764,0.19534879058100374,0.09920634920634921,0.06451612903225806,0.3457446808510638
2024-12-28,Montana,1.49,3.47,0.17,24-25,2024,52,2.46402,0.7758212155128154,0.45899470899470907,0.1370967741935484,0.5265957446808511
2025-01-18,Montana,0.82,3.46,0.4,24-25,2025,3,1.16732,0.3115524057695791,0.4576719576719577,0.32258064516129037,0.1702127659574468
2025-02-01,Montana,0.84,5.44,0.89,24-25,2025,5,2.14175,0.6604360768408382,0.7195767195767196,0.717741935483871,0.18085106382978722
