name_location,name_proxy,date_peak,date_detected
Alabama,Alabama,2023-11-25,2023-12-02
Alabama,Alabama,2024-12-21,2025-01-04
Alaska,Alaska,2023-12-30,2024-01-06
Alaska,Alaska,2024-12-28,2025-01-11
Arizona,Arizona,2023-12-30,2024-01-13
Arizona,Arizona,2025-02-08,2025-02-22
Arkansas,Arkansas,2023-12-02,2023-12-30
Arkansas,Arkansas,2024-12-28,2025-01-11
California,California,2023-12-30,2024-01-13
California,California,2025-01-04,2025-01-18
Colorado,Colorado,2023-12-30,2024-01-13
Colorado,Colorado,2025-02-08,2025-03-01
Connecticut,Connecticut,2023-11-25,2023-12-09
Connecticut,Connecticut,2024-12-28,2025-01-11
Delaware,Delaware,2023-11-25,2023-12-02
Delaware,Delaware,2024-12-28,2025-01-11
Florida,Florida,2023-10-28,2023-11-18
Florida,Florida,2024-11-30,2024-12-14
Georgia,Georgia,2023-11-11,2023-11-18
Georgia,Georgia,2024-11-30,2024-12-14
Hawaii,Hawaii,2023-10-21,2023-11-04
Hawaii,Hawaii,2023-11-18,2023-12-02
Hawaii,Hawaii,2024-11-16,2024-11-30
Hawaii,Hawaii,2024-12-28,2025-01-11
Idaho,Idaho,2024-01-06,2024-01-13
Idaho,Idaho,2025-02-22,2025-03-08
Illinois,Illinois,2023-12-02,2024-01-13
Illinois,Illinois,2023-12-16,2024-01-06
Illinois,Illinois,2025-01-04,2025-01-11
Indiana,Indiana,2023-12-30,2024-01-06
Indiana,Indiana,2025-01-04,2025-01-11
Iowa,Iowa,2023-12-30,2024-01-20
Iowa,Iowa,2025-01-18,2025-02-01
Kansas,Kansas,2024-01-06,2024-01-13
Kansas,Kansas,2025-01-04,2025-01-18
Kentucky,Kentucky,2023-12-09,2023-12-23
Kentucky,Kentucky,2025-01-04,2025-01-11
Louisiana,Louisiana,2023-11-25,2023-12-02
Louisiana,Louisiana,2024-12-28,2025-01-11
Maine,Maine,2023-12-30,2024-01-13
Maine,Maine,2025-02-08,2025-02-15
Maryland,Maryland,2023-11-25,2023-12-09
Maryland,Maryland,2024-12-28,2025-01-04
Massachusetts,Massachusetts,2023-12-09,2023-12-23
Massachusetts,Massachusetts,2024-12-28,2025-01-11
Michigan,Michigan,2023-12-30,2024-01-13
Michigan,Michigan,2025-01-04,2025-01-11
Minnesota,Minnesota,2023-12-23,2024-01-06
Minnesota,Minnesota,2025-02-15,2025-03-01
Mississippi,Mississippi,2023-11-18,2023-11-25
Mississippi,Mississippi,2024-11-30,2024-12-07
Montana,Montana,2023-12-30,2024-01-27
Montana,Montana,2024-02-17,2024-03-02
Montana,Montana,2025-03-08,2025-03-22
Nebraska,Nebraska,2023-12-23,2024-01-06
Nebraska,Nebraska,2025-02-08,2025-02-22
Nevada,Nevada,2023-12-30,2024-01-13
Nevada,Nevada,2024-12-28,2025-01-11
New Hampshire,New Hampshire,2023-12-16,2023-12-23
New Hampshire,New Hampshire,2024-12-28,2025-01-11
New Jersey,New Jersey,2023-12-02,2023-12-09
New Jersey,New Jersey,2024-12-28,2025-01-04
New Mexico,New Mexico,2023-12-30,2024-01-06
New Mexico,New Mexico,2025-02-15,2025-03-01
New York,New York,2023-12-16,2023-12-23
New York,New York,2024-12-28,2025-01-11
North Carolina,North Carolina,2023-11-25,2023-12-16
North Carolina,North Carolina,2024-12-28,2025-01-11
North Dakota,North Dakota,2024-02-03,2024-02-10
North Dakota,North Dakota,2025-02-22,2025-03-15
Ohio,Ohio,2023-12-23,2024-01-06
Ohio,Ohio,2025-01-04,2025-01-11
Oklahoma,Oklahoma,2023-12-30,2024-01-06
Oklahoma,Oklahoma,2025-01-11,2025-01-25
Oregon,Oregon,2023-12-30,2024-01-13
Oregon,Oregon,2025-01-04,2025-01-18
Oregon,Oregon,2025-02-08,2025-02-22
Pennsylvania,Pennsylvania,2023-12-23,2023-12-30
Pennsylvania,Pennsylvania,2024-12-28,2025-01-11
Rhode Island,Rhode Island,2023-12-09,2023-12-30
Rhode Island,Rhode Island,2024-12-28,2025-01-18
South Carolina,South Carolina,2023-11-25,2023-12-09
South Carolina,South Carolina,2024-12-28,2025-01-11
South Dakota,South Dakota,2024-02-03,2024-02-10
South Dakota,South Dakota,2024-02-24,2024-03-09
South Dakota,South Dakota,2025-03-08,2025-03-22
Tennessee,Tennessee,2023-11-25,2023-12-09
Tennessee,Tennessee,2024-12-28,2025-01-11
Texas,Texas,2023-11-25,2023-12-02
Texas,Texas,2024-11-30,2024-12-14
Texas,Texas,2024-12-28,2025-01-11
Utah,Utah,2024-01-06,2024-01-20
Utah,Utah,2025-02-15,2025-02-22
Vermont,Vermont,2024-01-06,2024-01-20
Virginia,Virginia,2023-11-25,2023-12-09
Virginia,Virginia,2024-12-28,2025-01-11
Washington,Washington,2023-12-30,2024-01-13
Washington,Washington,2024-12-28,2025-01-11
West Virginia,West Virginia,2024-01-06,2024-01-13
West Virginia,West Virginia,2025-01-04,2025-01-11
Wisconsin,Wisconsin,2023-12-30,2024-01-13
Wisconsin,Wisconsin,2025-02-08,2025-02-22
Wyoming,Wyoming,2023-12-09,2023-12-16
Wyoming,Wyoming,2024-02-10,2024-02-24
