,name_location,name_proxy,date_peak,date_detected
0,State,Alabama,2023-11-25,2025-02-15
1,State,Alabama,2024-12-21,2025-02-15
2,State,Alaska,2023-12-30,2025-02-15
3,State,Arizona,2023-12-30,2025-02-15
4,State,Arkansas,2023-12-02,2025-02-15
5,State,Arkansas,2024-12-28,2025-02-15
6,State,California,2023-12-30,2025-02-15
7,State,California,2025-01-04,2025-02-15
8,State,Colorado,2023-12-30,2025-02-15
9,State,Connecticut,2023-11-25,2025-02-15
10,State,Connecticut,2024-12-28,2025-02-15
11,State,Delaware,2023-11-25,2025-02-15
12,State,Delaware,2024-12-28,2025-02-15
13,State,District of Columbia,2023-11-11,2025-02-15
14,State,District of Columbia,2024-12-21,2025-02-15
15,State,Florida,2023-10-28,2025-02-15
16,State,Florida,2024-11-30,2025-02-15
17,State,Georgia,2023-11-11,2025-02-15
18,State,Georgia,2024-11-30,2025-02-15
19,State,Hawaii,2023-10-21,2025-02-15
20,State,Hawaii,2023-11-18,2025-02-15
21,State,Hawaii,2024-11-16,2025-02-15
22,State,Hawaii,2024-12-28,2025-02-15
23,State,Idaho,2024-01-06,2025-02-15
24,State,Illinois,2023-12-02,2025-02-15
25,State,Illinois,2025-01-04,2025-02-15
26,State,Indiana,2025-01-04,2025-02-15
27,State,Iowa,2023-12-30,2025-02-15
28,State,Iowa,2025-01-18,2025-02-15
29,State,Kansas,2025-01-04,2025-02-15
30,State,Kentucky,2023-12-09,2025-02-15
31,State,Kentucky,2025-01-04,2025-02-15
32,State,Louisiana,2023-11-25,2025-02-15
33,State,Louisiana,2024-12-28,2025-02-15
34,State,Maine,2023-12-30,2025-02-15
35,State,Maryland,2023-11-25,2025-02-15
36,State,Massachusetts,2023-12-09,2025-02-15
37,State,Massachusetts,2024-12-28,2025-02-15
38,State,Michigan,2023-12-30,2025-02-15
39,State,Michigan,2025-01-04,2025-02-15
40,State,Minnesota,2023-12-23,2025-02-15
41,State,Minnesota,2024-02-10,2024-02-24
42,State,Mississippi,2023-11-18,2025-02-15
43,State,Mississippi,2024-11-30,2025-02-15
44,State,Montana,2023-12-30,2025-02-15
45,State,Montana,2024-02-17,2025-02-15
46,State,Nebraska,2023-12-23,2025-02-15
47,State,Nevada,2023-12-30,2025-02-15
48,State,Nevada,2024-12-28,2025-02-15
49,State,New Hampshire,2024-12-28,2025-02-15
50,State,New Jersey,2023-12-02,2025-02-15
51,State,New Jersey,2024-12-28,2025-02-15
52,State,New Mexico,2023-12-30,2025-02-15
53,State,New York,2023-12-16,2025-02-15
54,State,New York,2024-12-28,2025-02-15
55,State,North Carolina,2023-11-25,2025-02-15
56,State,North Carolina,2024-12-28,2025-02-15
57,State,North Dakota,2024-02-03,2025-02-15
58,State,Ohio,2025-01-04,2025-02-15
59,State,Oklahoma,2023-12-30,2025-02-15
60,State,Oklahoma,2025-01-11,2025-02-15
61,State,Oregon,2023-12-30,2025-02-15
62,State,Pennsylvania,2023-12-23,2025-02-15
63,State,Pennsylvania,2024-12-28,2025-02-15
64,State,Rhode Island,2023-12-09,2025-02-15
65,State,Rhode Island,2024-12-28,2025-02-15
66,State,South Carolina,2023-11-25,2025-02-15
67,State,South Carolina,2024-12-28,2025-02-15
68,State,South Dakota,2024-02-03,2025-02-15
69,State,South Dakota,2024-02-24,2025-02-15
70,State,Tennessee,2023-11-25,2025-02-15
71,State,Tennessee,2024-12-28,2025-02-15
72,State,Texas,2023-11-25,2025-02-15
73,State,Texas,2024-11-30,2025-02-15
74,State,Texas,2024-12-28,2025-02-15
75,State,Utah,2024-01-06,2025-02-15
76,State,Vermont,2024-01-06,2025-02-15
77,State,Vermont,2024-02-03,2024-02-17
78,State,Vermont,2024-06-01,2025-02-15
79,State,Vermont,2024-09-21,2025-02-15
80,State,Virginia,2023-11-25,2025-02-15
81,State,Virginia,2024-12-28,2025-02-15
82,State,Washington,2023-12-30,2025-02-15
83,State,Washington,2024-12-28,2025-02-15
84,State,West Virginia,2024-01-06,2025-02-15
85,State,Wisconsin,2023-12-30,2025-02-15
86,State,Wyoming,2023-12-09,2025-02-15
87,State,Wyoming,2024-02-10,2025-02-15
