state,covid_onset,covid_end,covid_peak,season,time_diff,time_diff_week
Alabama,2024-07-06,2024-08-31,2024-08-17,24-25,42,6
Alaska,2024-06-08,2024-08-17,2024-07-27,24-25,49,7
Arkansas,2024-07-06,2024-09-07,2024-08-10,24-25,35,5
Florida,2024-06-08,2024-08-10,2024-07-20,24-25,42,6
Georgia,2024-07-06,2024-08-31,2024-08-24,24-25,49,7
Georgia,2024-12-21,2025-02-15,2025-03-08,24-25,77,11
Kansas,2024-07-13,2024-09-07,2024-12-28,24-25,168,24
Kansas,2024-12-14,2025-01-04,2024-12-28,24-25,14,2
Kentucky,2024-07-06,2024-09-07,2024-08-24,24-25,49,7
Louisiana,2024-06-29,2024-08-24,2024-08-10,24-25,42,6
Maine,2024-07-20,2024-09-21,2024-09-21,24-25,63,9
Minnesota,2024-06-29,2024-09-14,2024-08-17,24-25,49,7
Minnesota,2024-12-21,2025-01-11,2025-01-04,24-25,14,2
Mississippi,2024-07-06,2024-08-24,2024-08-10,24-25,35,5
Nebraska,2024-07-13,2024-09-07,2024-08-17,24-25,35,5
Nebraska,2024-12-14,2025-01-11,2025-01-04,24-25,21,3
New Mexico,2024-06-08,2024-08-31,2024-08-17,24-25,70,10
New York,2024-06-08,2024-09-07,2024-08-03,24-25,56,8
North Carolina,2024-07-06,2024-09-07,2024-08-17,24-25,42,6
North Dakota,2024-07-27,2024-09-14,2024-09-07,24-25,42,6
North Dakota,2024-12-14,2025-01-18,2024-12-28,24-25,14,2
Rhode Island,2024-07-06,2024-08-31,2024-08-17,24-25,42,6
Rhode Island,2024-12-14,2025-01-18,2025-01-04,24-25,21,3
South Carolina,2024-07-06,2024-08-31,2024-08-24,24-25,49,7
South Dakota,2024-06-15,2024-09-14,2024-09-07,24-25,84,12
South Dakota,2024-11-23,2025-01-18,2025-01-04,24-25,42,6
Tennessee,2024-07-06,2024-08-31,2024-08-17,24-25,42,6
Texas,2024-06-22,2024-08-24,2024-08-03,24-25,42,6
Vermont,2024-07-13,2024-09-21,2024-08-24,24-25,42,6
Washington,2024-06-22,2024-09-07,2024-08-03,24-25,42,6
West Virginia,2024-07-06,2024-09-21,2024-09-07,24-25,63,9
West Virginia,2024-08-24,2025-02-15,2024-09-07,24-25,14,2
Wisconsin,2024-06-29,2024-09-14,2024-08-17,24-25,49,7
Wisconsin,2024-12-21,2025-01-25,2025-01-04,24-25,14,2
District of Columbia,2024-06-01,2024-08-31,2024-08-03,24-25,63,9
Georgia,2024-12-21,2025-03-15,2025-03-08,24-25,77,11
South Dakota,2024-06-22,2024-09-14,2024-09-07,24-25,77,11
West Virginia,2024-08-24,2025-03-29,2024-09-07,24-25,14,2
