state,season,rsv_onset,rsv_end,rsv_peak,weeks_between
Alabama,23-24,2023-09-09,2023-12-09,2023-11-25,11
Alaska,23-24,2023-10-28,2024-01-06,2023-12-30,9
Arizona,23-24,2023-10-28,2024-01-20,2023-12-30,9
Arkansas,23-24,2023-10-07,2023-12-30,2023-12-02,8
California,23-24,2023-09-23,2024-01-06,2023-12-30,14
Colorado,23-24,2023-09-30,2024-01-13,2023-12-30,13
Connecticut,23-24,2023-10-07,2023-12-23,2023-11-25,7
Delaware,23-24,2023-09-16,2023-12-09,2023-11-25,10
Florida,23-24,2023-06-10,2023-11-18,2023-10-28,20
Georgia,23-24,2023-08-26,2023-11-25,2023-11-11,11
Hawaii,23-24,2023-08-26,2023-12-23,2023-10-21,8
Idaho,23-24,2023-10-21,2024-01-27,2024-01-06,11
Illinois,23-24,2023-08-26,2023-12-30,2023-12-02,14
Indiana,23-24,2023-08-19,2024-01-06,2023-12-30,19
Iowa,23-24,2023-10-14,2024-01-20,2023-12-30,11
Kansas,23-24,2023-09-30,2024-01-13,2024-01-06,14
Kentucky,23-24,2023-09-09,2023-12-23,2023-12-09,13
Louisiana,23-24,2023-08-05,2023-12-09,2023-11-25,16
Maine,23-24,2023-10-21,2024-01-13,2023-12-30,10
Maryland,23-24,2023-09-30,2023-12-16,2023-11-25,8
Massachusetts,23-24,2023-08-19,2023-12-23,2023-12-09,16
Michigan,23-24,2023-10-07,2024-01-06,2023-12-30,12
Minnesota,23-24,2023-10-28,2024-01-20,2023-12-23,8
Mississippi,23-24,2023-08-05,2023-12-02,2023-11-18,15
Montana,23-24,2023-10-28,2024-03-16,2023-12-30,9
Nebraska,23-24,2023-10-28,2024-01-06,2023-12-23,8
Nevada,23-24,2023-10-21,2024-01-06,2023-12-30,10
New Hampshire,23-24,2023-09-23,2023-12-30,2023-12-16,12
New Jersey,23-24,2023-09-30,2023-12-16,2023-12-02,9
New Mexico,23-24,2023-10-14,2024-01-06,2023-12-30,11
New York,23-24,2023-09-23,2023-12-30,2023-12-16,12
North Carolina,23-24,2023-08-26,2023-12-30,2023-11-25,13
North Dakota,23-24,2023-10-28,2024-02-17,2024-02-03,14
Ohio,23-24,2023-10-28,2024-01-06,2023-12-23,8
Oklahoma,23-24,2023-10-21,2023-12-30,2023-12-30,10
Oregon,23-24,2023-09-23,2024-01-13,2023-12-30,14
Pennsylvania,23-24,2023-09-30,2023-12-30,2023-12-23,12
Rhode Island,23-24,2023-11-04,2023-12-23,2023-12-09,5
South Carolina,23-24,2023-08-19,2023-12-02,2023-11-25,14
South Dakota,23-24,2023-11-25,2024-03-02,2024-02-03,10
Tennessee,23-24,2023-08-19,2023-12-09,2023-11-25,14
Texas,23-24,2023-08-05,2023-12-02,2023-11-25,16
Utah,23-24,2023-09-09,2024-02-03,2024-01-06,17
Vermont,23-24,2023-10-21,2024-01-13,2024-01-06,11
Virginia,23-24,2023-08-26,2023-12-09,2023-11-25,13
Washington,23-24,2023-10-07,2024-01-06,2023-12-30,12
West Virginia,23-24,2023-10-28,2024-01-06,2024-01-06,10
Wisconsin,23-24,2023-10-07,2024-01-20,2023-12-30,12
